C:\ICPCHEM\1\DATA\Laser\09DEC_2.D
Intensity Vs Time,CPS
Acquired      : Dec 9 2010  04:51 pm using AcqMethod DJoto.m
Time [Sec],Li7,Na23,Mg24,P31,Ca43,Sc45,V51,Cr53,Mn55,Fe57,Co59,Ni60,Cu63,Zn64,Cu65,Ge72,Rb85,Sr88,Y89,Cd114,Sn118,Ba137,Au197,Pb208,Th232,U238
0.321,0,3325250.46,100,6401.33,1000.03,3500.4,300,200,2500.21,3200.34,0,100,1400.07,0,0,500.01,100,0,0,0,200,0,0,400.01,0,0
0.632,0,3336568.04,100,6501.37,1700.1,3000.3,500.01,100,2400.19,3000.3,0,100,1200.05,100,300,400.01,200,0,0,100,200,0,0,1000.04,0,100
0.943,0,3290214.53,100,7301.73,400.01,3400.38,100,0,2800.26,2700.24,0,100,2400.19,0,300,300,0,0,0,100,0,0,0,800.02,0,0
1.254,100,3294151.25,100,5801.09,700.02,3200.34,500.01,200,2100.15,2500.21,0,0,1300.06,0,100,300,200,0,0,0,100,0,0,700.02,0,0
1.565,0,3278926.64,100,6601.42,400.01,2700.24,300,100,2500.21,3000.3,0,100,1500.07,0,200,500.01,100,0,0,100,100,0,0,600.01,0,0
1.876,0,3291533.28,200,7701.93,900.03,2700.24,300,300,2200.16,2800.26,0,0,1400.07,0,100,500.01,200,0,100,0,0,0,0,500.01,100,0
2.187,0,3310989.92,200,8902.58,700.02,3500.4,200,100,1600.08,3200.34,0,300,1000.03,0,0,900.03,100,0,0,0,300,0,0,500.01,0,0
2.498,0,3253397.53,0,6901.55,900.03,4500.66,700.02,200,2600.22,2900.28,0,100,1400.07,300,500.01,600.01,0,0,0,0,200,0,0,600.01,200,0
2.809,0,3281485.23,100,8202.19,700.02,3800.47,300,300,2400.19,3100.32,0,200,1800.11,100,0,700.02,0,0,0,0,100,0,100,400.01,0,0
3.121,100,3296080.15,0,7301.73,700.02,3800.47,300,0,2900.28,2200.16,0,100,1600.09,0,0,400.01,300,0,0,200,0,0,0,400.01,0,0
3.432,0,3282016.87,200,7401.78,700.02,2500.21,300,0,2400.19,3900.5,0,100,800.02,100,500.01,300,0,100,0,100,100,0,0,800.02,0,0
3.743,0,3284850.85,100,6301.29,1100.04,3200.34,500.01,500.01,2300.18,3700.45,100,0,1100.04,0,300,800.02,0,0,0,0,100,0,0,700.02,0,0
